15:56:21: newinfo
15:58:12: Decompose_poses, time elapse: 3.0483seconds
16:54:26: Decomposing poses, time elapse: 56.9821seconds
16:54:36: Calculating kernel matrix, time elapse: 9.0594seconds
17:30:50: Decomposing poses, time elapse: 57.0378seconds
17:31:13: Calculating kernel matrix, time elapse: 5.5572seconds
19:53:32: Decomposing poses, time elapse: 150.3532seconds
22:27:37: Decomposing poses, time elapse: 65.262seconds
22:27:39: Calculating kernel matrix, time elapse: 1.8678seconds
22:32:28: Decomposing poses, time elapse: 60.0968seconds
22:32:30: Calculating kernel matrix, time elapse: 1.8638seconds
22:47:34: Decomposing poses, time elapse: 59.06seconds
22:47:36: Calculating kernel matrix, time elapse: 1.8426seconds
22:54:40: Decomposing movements and ethograms, time elapse: 423.7363seconds
22:57:07: Decomposing poses, time elapse: 59.0239seconds
22:57:09: Calculating kernel matrix, time elapse: 1.8235seconds
23:31:55: Decomposing movements and ethograms, time elapse: 2085.7925seconds
15:43:16: Decomposing poses, time elapse: 50.0615seconds
15:43:18: Calculating kernel matrix, time elapse: 1.894seconds
15:45:44: Decomposing movements and ethograms, time elapse: 146.4383seconds
15:49:37: Decomposing poses, time elapse: 51.9293seconds
15:49:39: Calculating kernel matrix, time elapse: 1.6775seconds
15:51:26: Decomposing movements and ethograms, time elapse: 106.8852seconds
15:51:26: Decomposing completed, time elapse: 160.5448seconds
16:20:29: Decomposing poses, time elapse: 65.0969seconds
16:20:32: Calculating kernel matrix, time elapse: 2.9099seconds
16:23:09: Decomposing movements and ethograms, time elapse: 157.0942seconds
16:23:09: Decomposing completed, time elapse: 225.1882seconds
21:02:17: Decomposing poses, time elapse: 0.57916seconds
21:02:17: Calculating kernel matrix, time elapse: 0.006928seconds
21:04:12: Decomposing poses, time elapse: 62.875seconds
21:04:15: Calculating kernel matrix, time elapse: 3.2835seconds
21:08:48: Decomposing movements and ethograms, time elapse: 273.3022seconds
21:08:48: Decomposing completed, time elapse: 339.5147seconds
21:16:03: Decomposing poses, time elapse: 62.1706seconds
21:16:05: Calculating kernel matrix, time elapse: 2.5153seconds
21:20:32: Decomposing movements and ethograms, time elapse: 267.4353seconds
21:20:33: Decomposing completed, time elapse: 361.4963seconds
22:44:20: Decomposing poses, time elapse: 61.791seconds
22:44:23: Calculating kernel matrix, time elapse: 3.434seconds
22:47:38: Decomposing movements and ethograms, time elapse: 194.6574seconds
22:47:38: Decomposing completed, time elapse: 259.9554seconds
10:20:45: Decomposing poses, time elapse: 246.2144seconds
10:25:26: Decomposing poses, time elapse: 94.1669seconds
10:27:29: Calculating kernel matrix, time elapse: 122.7463seconds
10:30:13: Decomposing poses, time elapse: 87.9776seconds
10:33:34: Decomposing poses, time elapse: 76.6527seconds
10:34:50: Calculating kernel matrix, time elapse: 75.6173seconds
15:14:21: Decomposing poses, time elapse: 90.8719seconds
15:17:56: Decomposing poses, time elapse: 87.0666seconds
15:18:22: Calculating kernel matrix, time elapse: 25.5001seconds
15:23:41: Decomposing movements and ethograms, time elapse: 318.6561seconds
15:26:32: Decomposing poses, time elapse: 87.6018seconds
15:26:37: Calculating kernel matrix, time elapse: 4.6739seconds
15:31:54: Decomposing movements and ethograms, time elapse: 317.166seconds
15:39:00: Decomposing poses, time elapse: 91.954seconds
15:44:03: Calculating kernel matrix, time elapse: 302.6828seconds
15:48:30: Decomposing movements and ethograms, time elapse: 267.3317seconds
17:33:21: Decomposing poses, time elapse: 67.3231seconds
17:33:23: Calculating kernel matrix, time elapse: 1.6204seconds
17:36:41: Decomposing movements and ethograms, time elapse: 197.9787seconds
17:36:55: Decomposing completed, time elapse: 282.1138seconds
17:41:18: Decomposing poses, time elapse: 51.93seconds
17:42:41: Decomposing poses, time elapse: 48.629seconds
17:42:42: Calculating kernel matrix, time elapse: 1.2312seconds
17:46:32: Decomposing movements and ethograms, time elapse: 229.5196seconds
18:02:54: Decomposing completed, time elapse: 1261.6439seconds
13:13:38: Decomposing poses, time elapse: 82.679seconds
13:13:40: Calculating kernel matrix, time elapse: 1.728seconds
13:16:06: Decomposing movements and ethograms, time elapse: 146.161seconds
13:23:13: Decomposing poses, time elapse: 82.001seconds
13:23:14: Calculating kernel matrix, time elapse: 1.319seconds
13:25:42: Decomposing movements and ethograms, time elapse: 147.762seconds
13:26:15: Decomposing completed, time elapse: 263.625seconds
17:21:19: Decomposing poses, time elapse: 90.136seconds
17:21:20: Calculating kernel matrix, time elapse: 1.337seconds
17:24:15: Decomposing movements and ethograms, time elapse: 175.258seconds
